model,model_display,panel_order,k,budget,budget_order,final_sufficiency,highlight_path
openai_gpt-oss-20B_high,gpt-oss-20B-high,5,3,4x1,5,0.2575,1x4 → 2x2 → 4x1
openai_gpt-oss-20B_high,gpt-oss-20B-high,5,3,5x1,6,0.435,
openai_gpt-oss-20B_high,gpt-oss-20B-high,5,3,6x1,7,0.5625,3x2 → 6x1
openai_gpt-oss-20B_high,gpt-oss-20B-high,5,3,7x1,8,0.665,
openai_gpt-oss-20B_high,gpt-oss-20B-high,5,3,8x1,9,0.7325,
openai_gpt-oss-20B_high,gpt-oss-20B-high,5,3,9x1,10,0.745,
openai_gpt-oss-20B_high,gpt-oss-20B-high,5,3,10x1,11,0.77,
openai_gpt-oss-20B_high,gpt-oss-20B-high,5,3,No budget,12,0.8175,
openai_gpt-oss-120B_high,gpt-oss-120B-high,6,1,1x4,0,0.675,1x4 → 2x2 → 4x1
openai_gpt-oss-120B_high,gpt-oss-120B-high,6,1,2x1,1,0.735,
openai_gpt-oss-120B_high,gpt-oss-120B-high,6,1,2x2,2,0.8325,1x4 → 2x2 → 4x1
openai_gpt-oss-120B_high,gpt-oss-120B-high,6,1,3x1,3,0.83,
openai_gpt-oss-120B_high,gpt-oss-120B-high,6,1,3x2,4,0.9225,3x2 → 6x1
openai_gpt-oss-120B_high,gpt-oss-120B-high,6,1,4x1,5,0.89,1x4 → 2x2 → 4x1
openai_gpt-oss-120B_high,gpt-oss-120B-high,6,1,5x1,6,0.94,
openai_gpt-oss-120B_high,gpt-oss-120B-high,6,1,6x1,7,0.93,3x2 → 6x1
openai_gpt-oss-120B_high,gpt-oss-120B-high,6,1,7x1,8,0.94,
openai_gpt-oss-120B_high,gpt-oss-120B-high,6,1,8x1,9,0.9625,
openai_gpt-oss-120B_high,gpt-oss-120B-high,6,1,9x1,10,0.9675,
openai_gpt-oss-120B_high,gpt-oss-120B-high,6,1,10x1,11,0.945,
openai_gpt-oss-120B_high,gpt-oss-120B-high,6,1,No budget,12,0.9775,
openai_gpt-oss-120B_high,gpt-oss-120B-high,6,2,1x4,0,0.375,1x4 → 2x2 → 4x1
openai_gpt-oss-120B_high,gpt-oss-120B-high,6,2,2x1,1,0.2075,
openai_gpt-oss-120B_high,gpt-oss-120B-high,6,2,2x2,2,0.4825,1x4 → 2x2 → 4x1
openai_gpt-oss-120B_high,gpt-oss-120B-high,6,2,3x1,3,0.4475,
openai_gpt-oss-120B_high,gpt-oss-120B-high,6,2,3x2,4,0.735,3x2 → 6x1
openai_gpt-oss-120B_high,gpt-oss-120B-high,6,2,4x1,5,0.595,1x4 → 2x2 → 4x1
openai_gpt-oss-120B_high,gpt-oss-120B-high,6,2,5x1,6,0.7225,
openai_gpt-oss-120B_high,gpt-oss-120B-high,6,2,6x1,7,0.7825,3x2 → 6x1
openai_gpt-oss-120B_high,gpt-oss-120B-high,6,2,7x1,8,0.8125,
openai_gpt-oss-120B_high,gpt-oss-120B-high,6,2,8x1,9,0.86,
openai_gpt-oss-120B_high,gpt-oss-120B-high,6,2,9x1,10,0.85,
openai_gpt-oss-120B_high,gpt-oss-120B-high,6,2,10x1,11,0.885,
openai_gpt-oss-120B_high,gpt-oss-120B-high,6,2,No budget,12,0.94,
openai_gpt-oss-120B_high,gpt-oss-120B-high,6,3,1x4,0,0.185,1x4 → 2x2 → 4x1
openai_gpt-oss-120B_high,gpt-oss-120B-high,6,3,2x1,1,0.0075,
